key,option,VN,CN,TH
"Example: Jasmine Green Tea has ____cc tea broth, brewed for ____ minutes at ____°C.","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form","Ví dụ: Lục trà lài có ____cc nước cốt trà, ủ trong ____ phút ở ____°C.","Example: Jasmine Green Tea has ____cc tea broth, brewed for ____ minutes at ____°C.","Example: Jasmine Green Tea has ____cc tea broth, brewed for ____ minutes at ____°C."
Correct Answer Configuration,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Cấu hình đáp án đúng,Correct Answer Configuration,Correct Answer Configuration
📌 Instructions for entering correct answers:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",📌 Hướng dẫn nhập đáp án chính xác:,📌 Instructions for entering correct answers:,📌 Instructions for entering correct answers:
"If the question has 1 blank (____): Enter acceptable correct answers
                                (separated by commas ;).","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form","Nếu câu hỏi có 1 ô trống (____): Nhập các đáp án đúng được chấp nhận
                                (ngăn cách bằng dấu phẩy hoặc chấm phẩy).","If the question has 1 blank (____): Enter acceptable correct answers
                                (separated by commas ;).","If the question has 1 blank (____): Enter acceptable correct answers
                                (separated by commas ;)."
"If the question has multiple blanks (____): Enter each blank on 1
                                separate line in order.","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form","Nếu câu hỏi có nhiều ô trống (____): Nhập đáp án cho từng ô trống
                                trên mỗi dòng riêng biệt theo thứ tự.","If the question has multiple blanks (____): Enter each blank on 1
                                separate line in order.","If the question has multiple blanks (____): Enter each blank on 1
                                separate line in order."
Correct Answer List,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Danh sách đáp án đúng,Correct Answer List,Correct Answer List
"500, 500ml
10, 10 minutes
85, 85-90","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form","500, 500ml
10, 10 minutes
85, 85-90","500, 500ml
10, 10 minutes
85, 85-90","500, 500ml
10, 10 minutes
85, 85-90"
Inspection Question,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Câu hỏi giám sát,Inspection Question,Inspection Question
Archived,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_search",Đã lưu trữ,Archived,Archived
Search Inspection Questions,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_search",Tìm kiếm câu hỏi giám sát,Search Inspection Questions,Search Inspection Questions
Correct Answers,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_tree",Các đáp án đúng,Correct Answers,Correct Answers
Inspection Questions,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_tree",Tiêu chí / Câu hỏi giám sát,Inspection Questions,Inspection Questions
Inspection Results Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_report_graph",Phân tích kết quả giám sát,督導結果分析,การวิเคราะห์ผล
Inspection Results Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_report_pivot",Phân tích kết quả giám sát,督導結果分析,การวิเคราะห์ผล
My Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Đợt giám sát của tôi,My Inspections,My Inspections
Planned Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Ngày dự kiến,預計日期,วันที่วางแผน
Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Dự thảo,草稿,แบบร่าง
In Progress,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Đang thực hiện,進行中,กำลังดำเนินการ
Need Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Cần khắc phục,待改善,ต้องแก้ไข
Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Hoàn thành,已完成,เสร็จสิ้น
Cancelled,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Đã hủy,已取消,ยกเลิก
Grade A,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại A,Grade A,Grade A
Grade B,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại B,Grade B,Grade B
Grade C,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại C,Grade C,Grade C
Grade D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại D,Grade D,Grade D
Franchise Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Cửa hàng nhượng quyền,Franchise Store,Franchise Store
Inspector,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Giám sát viên,督導人員,ผู้ตรวจสอบ
Status,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Trạng thái,狀態,สถานะ
Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại,等級,เกรด
Planned Month,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Tháng kế hoạch,Planned Month,Planned Month
Planned Day,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Ngày kế hoạch,Planned Day,Planned Day
Search Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Tìm kiếm phiếu giám sát,Search Inspections,Search Inspections
Activate,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Kích hoạt,Activate,Activate
Create New Version,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Tạo phiên bản mới,Create New Version,Create New Version
Export Criteria Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Xuất Excel tiêu chí,匯出評核標準Excel,ส่งออกเกณฑ์ Excel
Reset to Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Đặt lại dự thảo,重設為草稿,รีเซ็ตเป็นร่าง
Archive,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Lưu trữ,Archive,Archive
Template Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Tên mẫu phiếu,Template Name,Template Name
e.g. Store Hygiene & Quality Inspection Template 2026,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",ví dụ: Mẫu giám sát Vệ sinh & Chất lượng cửa hàng 2026,e.g. Store Hygiene & Quality Inspection Template 2026,e.g. Store Hygiene & Quality Inspection Template 2026
TEMPLATE-INSP-01,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",TEMPLATE-INSP-01,TEMPLATE-INSP-01,TEMPLATE-INSP-01
Scoring Configuration,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Cấu hình tính điểm,Scoring Configuration,Scoring Configuration
Import from Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Nhập từ Excel,從Excel匯入,นำเข้าจาก Excel
Download Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Tải file mẫu,下載範本,ดาวน์โหลดแม่แบบ
Add a line,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Thêm một dòng,新增一行,เพิ่มแถว
Add a section,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Thêm một phần / nhóm,Add a section,Add a section
Inspection Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Các tiêu chí giám sát,Inspection Criteria,Inspection Criteria
Inspection Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_form",Mẫu phiếu giám sát,Inspection Template,Inspection Template
Import Data,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_import_wizard_form",Nhập Dữ Liệu,匯入資料,นำเข้าข้อมูล
Download Excel Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_import_wizard_form",Tải File Mẫu Excel,下載Excel範本,ดาวน์โหลดแม่แบบ Excel
Cancel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_import_wizard_form",Hủy bỏ,取消,ยกเลิก
Import Inspection Criteria from Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_import_wizard_form",Nhập Tiêu Chí Khảo Sát Từ Excel,從Excel匯入督導評核項目,นำเข้าเกณฑ์การตรวจจาก Excel
Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Dự thảo,草稿,แบบร่าง
Active,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Đang hoạt động,正常營運,ใช้งานอยู่
Archived,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Đã lưu trữ,Archived,Archived
Status,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Trạng thái,狀態,สถานะ
Effective Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Ngày hiệu lực,Effective Date,Effective Date
Search Inspection Templates,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_search",Tìm kiếm mẫu giám sát,Search Inspection Templates,Search Inspection Templates
Inspection Templates,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_template_tree",Mẫu phiếu giám sát,督導表範本,แม่แบบแบบฟอร์ม
Archived,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_form",Đã lưu trữ,Archived,Archived
Franchise Membership,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_form",Thành viên nhượng quyền,Franchise Membership,Franchise Membership
Franchise Memberships,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_list",Danh sách thành viên nhượng quyền,Franchise Memberships,Franchise Memberships
Currently valid,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Hiện đang có hiệu lực,Currently valid,Currently valid
Currently Working,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đang làm việc,Currently Working,Currently Working
Resigned / Not Working,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đã nghỉ việc / Không làm việc,Resigned / Not Working,Resigned / Not Working
Store owner,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Chủ cửa hàng,Store owner,Store owner
Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Quản lý,店長／主管,ผู้จัดการ
Staff,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Nhân viên,門市員工,พนักงาน
Passed Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đã thi đậu,通過測驗,สอบผ่าน
Archived,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đã lưu trữ,Archived,Archived
Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Cửa hàng,門店,ร้านค้า
User,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Người dùng,User,User
Role,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Vai trò,角色,บทบาท
Supervision Calendar,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_calendar",Lịch giám sát,Supervision Calendar,Supervision Calendar
